,time
0,0 days 00:29:03.007916
1,0 days 00:16:53.840847
2,0 days 00:11:41.220844
3,0 days 00:16:41.716283
4,0 days 00:14:14.482702
5,0 days 00:27:55.011305
6,0 days 00:09:51.248181
7,0 days 00:15:35.764549
8,0 days 00:18:35.750962
9,0 days 00:14:28.143494
