,time
0,0 days 00:00:26.969125
1,0 days 00:00:28.635157
2,0 days 00:00:28.856408
3,0 days 00:00:18.426063
4,0 days 00:00:23.820587
5,0 days 00:00:31.410959
6,0 days 00:00:17.530094
7,0 days 00:00:19.934038
8,0 days 00:00:22.510630
9,0 days 00:00:13.559813
