,time
0,0 days 00:00:00.000136
1,0 days 00:00:00.000138
2,0 days 00:00:00.000149
3,0 days 00:00:00.000147
4,0 days 00:00:00.000135
5,0 days 00:00:00.000140
6,0 days 00:00:00.000146
7,0 days 00:00:00.000141
8,0 days 00:00:00.000137
9,0 days 00:00:00.000141
