,time
0,0 days 00:00:08.220769
1,0 days 00:00:17.603309
2,0 days 00:00:11.952715
3,0 days 00:00:07.487754
4,0 days 00:00:11.214944
5,0 days 00:00:07.586878
6,0 days 00:00:15.384809
7,0 days 00:00:15.089091
8,0 days 00:00:13.544175
9,0 days 00:00:10.224280
