,time
0,0 days 00:00:51.604847
1,0 days 00:00:47.098802
2,0 days 00:00:45.037795
3,0 days 00:00:24.469868
4,0 days 00:01:03.619457
5,0 days 00:00:41.016758
6,0 days 00:00:47.560636
7,0 days 00:00:57.122161
8,0 days 00:01:05.383871
9,0 days 00:00:47.817460
