,time
0,0 days 00:04:08.352363
1,0 days 00:02:41.665581
2,0 days 00:01:20.638575
3,0 days 00:01:32.848612
4,0 days 00:04:24.324527
5,0 days 00:01:53.860546
6,0 days 00:02:43.296764
7,0 days 00:02:16.647302
8,0 days 00:01:25.816105
9,0 days 00:02:41.451472
