,time
0,0 days 00:00:00.000233
1,0 days 00:00:00.006318
2,0 days 00:00:00.003402
3,0 days 00:00:00.002574
4,0 days 00:00:00.011587
5,0 days 00:00:00.012331
6,0 days 00:00:00.000280
7,0 days 00:00:00.000235
8,0 days 00:00:00.000245
9,0 days 00:00:00.014957
