,time
0,0 days 00:00:00.000143
1,0 days 00:00:00.000232
2,0 days 00:00:00.000144
3,0 days 00:00:00.000142
4,0 days 00:00:00.000146
5,0 days 00:00:00.000143
6,0 days 00:00:00.000142
7,0 days 00:00:00.000146
8,0 days 00:00:00.000145
9,0 days 00:00:00.000143
