,time
0,0 days 00:00:04.601349
1,0 days 00:00:04.480169
2,0 days 00:00:04.575386
3,0 days 00:00:04.574862
4,0 days 00:00:04.475558
5,0 days 00:00:04.486003
6,0 days 00:00:04.498441
7,0 days 00:00:04.449723
8,0 days 00:00:04.544980
9,0 days 00:00:04.444735
