,time
0,0 days 00:02:27.896139
1,0 days 00:02:28.570096
2,0 days 00:02:57.743581
3,0 days 00:06:37.531872
4,0 days 00:02:01.664599
5,0 days 00:02:16.575590
6,0 days 00:02:07.769361
7,0 days 00:17:16.111529
8,0 days 00:02:36.528632
9,0 days 00:01:53.499464
