,time
0,0 days 00:00:01.275668
1,0 days 00:00:03.648353
2,0 days 00:00:01.735244
3,0 days 00:00:01.416679
4,0 days 00:00:02.823693
5,0 days 00:00:01.013405
6,0 days 00:00:01.105533
7,0 days 00:00:01.540492
8,0 days 00:00:03.509458
9,0 days 00:00:01.979322
10,0 days 00:00:01.311151
11,0 days 00:00:05.853441
12,0 days 00:00:01.064788
13,0 days 00:00:01.733850
14,0 days 00:00:01.382718
15,0 days 00:00:03.214815
16,0 days 00:00:01.384408
17,0 days 00:00:01.905093
18,0 days 00:00:03.871091
19,0 days 00:00:03.011017
20,0 days 00:00:00.947724
21,0 days 00:00:01.783214
22,0 days 00:00:01.906126
23,0 days 00:00:01.243860
24,0 days 00:00:01.175588
25,0 days 00:00:01.117281
26,0 days 00:00:01.783163
27,0 days 00:00:02.436719
28,0 days 00:00:02.034288
29,0 days 00:00:01.959458
30,0 days 00:00:01.925323
31,0 days 00:00:04.203088
32,0 days 00:00:01.540225
33,0 days 00:00:03.562518
34,0 days 00:00:01.243900
35,0 days 00:00:01.012230
36,0 days 00:00:01.170591
37,0 days 00:00:01.300033
38,0 days 00:00:01.014649
39,0 days 00:00:01.188584
40,0 days 00:00:01.082709
41,0 days 00:00:01.511238
42,0 days 00:00:03.142378
43,0 days 00:00:00.996135
44,0 days 00:00:03.580158
45,0 days 00:00:00.995632
46,0 days 00:00:00.930637
47,0 days 00:00:02.893680
48,0 days 00:00:01.189483
49,0 days 00:00:00.941848
50,0 days 00:00:01.246510
51,0 days 00:00:01.032854
52,0 days 00:00:02.563293
53,0 days 00:00:01.014978
54,0 days 00:00:02.806955
55,0 days 00:00:01.281543
